consecutivo;E_Org1;E_Org2;E_Org3;E_Org4;E_Org5;E_Org6;Total_Org;Func_7;Func_8;Func_9;Func_10;Total_Func;IntPE_11;IntPE_12;IntPE_13;IntPE_14;IntPE_15;IntPE_16;IntPE_17;IntPE_18;IntPE_19;Total_IntPE;Met_20;Met_21;Met_22;Met_23;Met_24;Total_Met;Eval_25;Eval_26;Eval_27;Total_Eval;IntP_28;IntP_29;IntP_30;IntP_31;IntP_32;IntP_33;Total_IntP;IntExt_34;IntExt_35;IntExt_36;Total_Ext;Sat_37;Sat_38;Sat_39;Sat_40;Sat_41;Total_Sat;P_Sex;P_Edad;P_GrAcad;P_ExpDOC;P_CondLab;P_OtroTrab;P_AsistReg;P_ImAntes;P_Nveces;P_E_Org1;P_E_Org2;P_E_Org3;P_E_Org4;P_E_Org5;P_E_Org6;P_Func_7;P_Func_8;P_Func_9;P_Func_10;P_IntPE_11;P_IntPE_12;P_IntPE_13;P_IntPE_14;P_IntPE_15;P_IntPE_16;P_IntPE_17;P_IntPE_18;P_IntPE_19;P_Met_20;P_Met_21;P_Met_22;P_Met_23;P_Met_24;P_Eval_25;P_Eval_26;P_Eval_27;P_IntP_28;P_IntP_29;P_IntP_30;P_IntP_31;P_IntP_32;P_IntP_33;P_IntExt_34;P_IntExt_35;P_IntExt_36;P_Sat_37;P_Sat_38;P_Sat_39;P_Sat_40;P_Sat_41;;;;;;;;;;;;;;;;
1;4;4;3;4;2;2;19;3;2;3;2;10;3;4;4;4;4;4;4;4;3;34;4;4;4;4;4;20;4;4;4;12;4;4;4;3;4;4;23;3;3;3;9;4;4;4;4;4;20;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
2;3;3;3;3;2;3;17;3;3;2;2;10;4;4;3;3;2;3;4;3;3;29;2;3;3;4;4;16;4;3;4;11;3;3;2;1;3;2;14;3;3;2;8;3;3;3;4;4;17;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
3;4;4;4;4;4;4;24;4;4;3;3;14;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;3;3;3;3;2;3;17;4;3;4;11;4;4;4;4;4;20;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
4;2;4;2;3;2;3;16;3;4;2;3;12;3;3;2;2;3;3;2;3;3;24;2;3;3;3;3;14;4;2;2;8;3;4;3;2;4;2;18;3;4;3;10;3;3;2;2;3;13;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
5;4;4;3;3;3;3;20;3;3;4;4;14;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;3;3;9;4;4;4;4;4;20;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
6;4;4;4;4;2;2;20;3;3;NA;3;9;3;3;3;4;3;3;3;4;4;30;3;3;3;4;4;17;4;3;4;11;4;4;4;4;3;3;22;3;4;3;10;3;3;2;3;4;15;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
7;3;3;3;3;2;2;16;2;2;3;2;9;4;3;2;3;2;3;3;2;3;25;3;2;3;3;3;14;4;4;2;10;3;3;3;2;4;4;19;2;3;3;8;2;3;2;3;3;13;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
8;4;4;2;4;2;2;18;2;2;3;3;10;4;4;4;4;4;4;4;3;4;35;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;2;2;2;6;2;2;2;4;4;14;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
9;4;4;4;4;3;3;22;4;4;4;4;16;4;4;3;3;3;4;4;4;4;33;3;4;4;4;4;19;4;3;3;10;4;4;4;3;4;4;23;4;4;4;12;4;4;4;4;4;20;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
10;4;4;4;3;3;2;20;2;2;4;2;10;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;2;4;4;22;2;4;4;10;2;2;4;4;4;16;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
11;1;1;1;1;1;4;9;3;3;2;2;10;1;1;1;2;1;1;1;1;1;10;1;1;1;1;2;6;1;1;1;3;2;2;2;1;2;2;11;2;1;2;5;1;1;1;1;1;5;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
12;3;4;2;3;3;2;17;3;4;4;2;13;3;4;3;3;3;3;4;3;3;29;3;3;3;3;3;15;3;4;3;10;3;3;3;1;3;2;15;3;3;3;9;3;3;3;3;3;15;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
13;3;4;4;3;4;3;21;3;3;3;3;12;4;4;4;4;NA;3;4;4;4;31;4;4;4;4;4;20;4;4;4;12;4;4;4;3;4;3;22;4;3;3;10;4;4;4;4;4;20;0;54;3;34;2;1;20;1;10;3;3;4;4;3;3;2;4;4;3;2;4;4;4;4;4;4;4;4;NA;NA;4;NA;4;2;2;3;4;4;4;NA;4;4;2;4;3;3;2;4;4;4;;;;;;;;;;;;;;;;
